Modelo,Accuracy,Precision,Recall,F1-score
GradientBoostingClassifier,0.8813559322033898,0.8800660055601792,0.8813559322033898,0.8792819392667659
LogisticRegression,0.8734463276836159,0.8725859222215594,0.8734463276836159,0.8702025273036378
RandomForestClassifier,0.8632768361581921,0.8614959615851369,0.8632768361581921,0.860213270171406
KNeighborsClassifier,0.848587570621469,0.8478485891153152,0.848587570621469,0.8428012534527113
